,0016302dde16c391d8cbb0b04f0a14f3,0c662384f9a727304d03eab4a11de40c,0f3973c3bfff674f128bc5a29bbf17ae,13fa5dfb070bab32d7cd0911d682eae2,1ef7556e0472eef35c1b0e3356674551,1f1800f46b6470001bd7b2eae3e6777d,238465f10446c19e4baa04987ec7b85a,26528c15dcc3891f768575cf82d4a0b5,3daf78f9268a57e4031a1986f1c923df,4035a52fc96b508a86db385b0af1a36f,4bc3821cb2319a00ab5607e05776d689,4cf6abad36e73f68487cf5d6db9fc6d6,51df8445f266970bdcc377fee2cead64,594210f301e8c7f92fae3958026dc834,5b232da59bbb91b2e5cd011698dec97a,63a52afbb1f6f91ffe90d0fc681104f8,65ed672af933c88c445fed9e78fa461c,69c4a4d2284dfc5aab915b0448924538,6a8f5c996f7ae964fe949c4cd292a3d2,728c5fedefe7c46b0f219a537b52227b,76f63555925aaec355aebe36564cad2b,78cb23fd1e36c41958a1d11d506bfa1d,7ad34dc98f14ff86140c55664da735e8,897c8bef051638f0390db8164e4071af,91d03df2dfeb93a6acc95041a2a559dc,93c42d1806632cb767f9d82e4d1448d4,9ee0e32b9dc42d36b9db08dcc459f677,b583b72284ef0c92af80789adb2318d3,bed7150b362a3497b231e2d1a89d4931,d860839054dd9ad5fe8dad0009a21420,d9ef5a8a190cdb915315e6b99d911f8d,dab1302462bff290b394b3958555e672,df4888f1235a3b2e3a76c0205c659bda,e0c733734138e9d6abae05a9bd39777a,e914228dc88dc3dc0ca229eb5fb7b83d,e98725484f3dc2c37b9985008ef386e0,ff2df49554c12220b2380ce6b422f0f8
299,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
301,,,,,,,,,,,,,0.694,,,,,,,,,,,,,,,,,,,,,,,,
302,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,-0.1027,,,,,,,,,,,,,,,,,,,,,,,,
304,,,,,,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,0.7579,,,,,,,,,,,,,,,,,,,,,,,,
306,,,,,,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,
307,,,,,,,,,,,,,0.4939,,,,,,,,,,,,,,,,,,,,,,,,
308,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
309,,,,,,,,,,,,,0.4588,,,,,,,,,,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,,-0.4215,,0.0,,,,,,,,,,,,,,,
312,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
313,,,,,,,,,,,,,,,,,,,,,,0.4939,,,,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,,,,,,,0.6369,,,,,,,,,,,,,,,
315,,,,,,,,,,,,,,,,,,,,,,0.5859,,,,,,,,,,,,,,,
316,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
317,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
318,,,,,,,,,,,,,,,,,,,,,,0.3612,,,,,,,,,,,,,,,
319,,,,,,,,,,,,,,,,,,,,,,0.765,,,,,,,,,,,,,,,
320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,,,0.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,,,0.7351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,,,0.4215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,,,0.4215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,,,0.3612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,,,0.4939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,,,,,,,,,,,,,,,,,,,,,,,,,0.0644,,,,,,,,,,,,
351,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
352,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
353,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
354,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
355,,,,,,,,,,,,,,,,,,,,,,,,,0.5106,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
357,,,,,,,,,,,,,,,,,,,,,,,,,0.6249,,,,,,,,,,,,
358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,,,,,,,,,0.8788,,,,,,,,,,,,,,,,,,,,,0.8788,,,,,,,
360,,,,,,,,,0.8788,,,,,,,,,,,,,,,,,,,,,0.8788,,,,,,,
361,,,,,,,,,0.8788,,,,,,,,,,,,,,,0.6369,,,,,,0.8788,,,,,,,
362,,,,,,,,,0.8788,,,,,,,,,,,,,,,0.6369,,,,,,0.8788,,,,,,,
363,,,,,,,,,0.8788,,,,,,,,,,,,,,,0.6369,,,,,,0.8788,,,,,,,
364,,,,,,,,,0.8788,,,,,,,,,,,,,,,0.6369,,,,,,0.8788,,,,,,,
365,,,,,,,,,0.8788,,,,,,,,,,,,,,,,,,,,,0.8788,,,,,,,
366,,,,,,,,,0.8788,,,,,,,,,,,,,,,,,,,,,0.8788,,,,,,,
367,,,,,,,,,0.8788,,,,,,,,,,,,,,,,,,,,,0.8788,,,,,,,
368,,,,,,,,,0.8788,,,,,,,,,,,,,,,,,,,,,0.8788,,,,,,,
369,,,,,,,,,0.8788,,,,,,,,,,,,,,,,,,,,,0.8788,,,,,,,
370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4648,
378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,,,,,,,0.7125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,,,,,,,0.4215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,,,,,,,0.4215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,,,,,,,,,,,,,,,,,,,,,0.5574,,,,,,,,,,,,,,,,
430,,,,,,,,,,,,,,,,,,,,,0.6901,,,,,,,,,,,,,,,,
431,,,,,,,,,,,,,,,,,,,,,0.5574,,,,,,,,,,,,,,,,
432,,,,,,,,,,,,,,,,,,,,,0.5574,,,,,,,,,,,,,,,,
433,,,,,,,,,,,,,,,,,,,,,,,0.3182,,,,,,,,,,,,,,
434,,,,,,,,,,,,,,,,,,,,,,,0.3182,,,,,,,,,,,,,,
435,,,,,,,,,,,,,,,,,,,,,,,0.3182,,,,,,,,,,,,,,
436,,,,,,,,,,,,,,,,,,,,,,,0.3182,,,,,,,,,,,,,,
437,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
438,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
439,,,,,,,,,,,,,,,,,,,,,,,0.3182,,,,,,,,,,,,,,
440,,,,,,,,,,,,,,,,,,,0.5766,,,,,,,,,,,,,,,,,,
441,,,,,,,,,,,,,,,,,,,0.5766,,,,,,,,,,,,,,,,,,
442,,,,,,,,,,,,,,,,,,,0.7739,,,,,,,,,,,,,,,,,,
443,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
444,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
445,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
446,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
447,,,,,,,,,,,,,,0.5106,,,,,,,,,,,,,,,,,,,,,,,
448,,,,,,,,,,,,,,0.5106,,,,,,,,,,,,,,,,,,,,,,,
449,,,,,,,,,,,,,,0.5106,,,,,,,,,,,,,,,,,,,,,,,
450,,,,,,,,,,,,,,0.5106,,,,,,,,,,,,,,,,,,,,,,,
451,,,,,,,,,,,,,,0.5106,,,,,,,,,,,,,,,,,,,,,,,
452,,,,,,,,,,,,,,0.5106,,,,,,,,,,,,,,,,,,,,,,,
453,,,,,,,,,,,,,,0.5106,,,,,,,,,,,,,,,,,,,,,,,
454,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
455,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
456,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
457,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
458,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
459,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
460,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,0.7096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,0.6369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,0.6369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6369,,,,,
503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7304,,,,,
505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5904,,,,,
508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.368,,,,,,,,,
534,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.3182,
535,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5994,,,,,,,,,
536,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1531,,,,,,,,,
537,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
538,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.128,
550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,,,,,0.4767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4767,,,
566,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
567,,,,,0.7783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7783,,,
568,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
569,,,,,-0.8415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8415,,,
570,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,
571,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,
572,,,,,0.6249,,,,,,,,,,,,,,,,,,,,,,,,0.6249,,,,,0.6249,,,
573,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,
574,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,
575,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,
576,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,
577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,
578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,
579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5423,,,,,0.5423,,,
580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,
581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.296,,,,,,,,
582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3182,
590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6739,
591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3182,
592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,,,,,,,,,,,,,,,,,,,,0.5859,,,,,,,,,,,,,,,,,
596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,,,,,,,,,,0.6369,,,,,,,,,,,,,,,,,,,,,,,,,,,
